工单编号,标题,地点,故障描述,联系人,联系电话,紧急程度,期望完成日期,状态,指派技师,派单时间,创建时间,更新时间,返工申请状态,返工申请人,返工申请原因,返工审批人,返工审批意见,返工申请时间,返工审批时间
WO-2026-0017,【返工测试】水管漏水-1781653188440,测试C栋1层,卫生间水管漏水严重需维修,测试员,13900000001,高,2026-06-22,待派单,,,2026-06-16T23:39:48.571Z,2026-06-16T23:39:48.641Z,,,,,,,
WO-2026-0015,?review-gui???????-1781651929945,??? 11F,?????????????????,???,13900000003,中,2026-06-23,待派单,,,2026-06-16T23:18:49.987Z,2026-06-16T23:18:49.987Z,,,,,,,
WO-2026-0013,?review-available?????-1781651865324,??? 9F,??????????????,???,13900000001,中,2026-06-23,待派单,,,2026-06-16T23:17:45.369Z,2026-06-16T23:17:45.369Z,,,,,,,
WO-2026-0012,?review??????-1781651845475,??? 12F,??????????????,???,13900000000,高,2026-06-21,待派单,,,2026-06-16T23:17:25.495Z,2026-06-16T23:17:25.527Z,,,,,,,
WO-2026-0011,【回归v4】水管关闭撤销-1781651522251,测试C栋1层,卫生间水管漏水严重需维修,测试员,13900000001,高,2026-06-22,待派单,,,2026-06-16T23:12:02.361Z,2026-06-16T23:12:02.361Z,,,,,,,
WO-2026-0007,【测试】关闭后撤销验证-电梯-1781650525552,测试楼1层,电梯无法运行，需要维修,测试员,13800000000,高,2026-06-20,待派单,,,2026-06-16T22:55:25.560Z,2026-06-16T22:55:25.560Z,,,,,,,
WO-2026-0006,【测试】关闭后撤销验证-1781650454530,测试楼1层,空调不制冷，需要维修,测试员,13800000000,高,2026-06-17,待派单,,,2026-06-16T22:54:14.572Z,2026-06-16T22:54:14.572Z,,,,,,,
WO-2026-0005,????-????,A?204,????????????,?????,13900000014,中,2026-06-25,待派单,,,2026-06-16T17:58:09.856Z,2026-06-16T17:58:09.856Z,,,,,,,
WO-2026-0004,????-??,A?203,???????????,?????,13900000013,低,2026-06-25,待派单,,,2026-06-16T17:58:09.831Z,2026-06-16T17:58:09.831Z,,,,,,,
WO-2026-0002,会议室投影仪无法开机,行政楼2楼大会议室,按电源键无反应，指示灯不亮,刘助理,13800000002,中,2026-06-17,待派单,,,2026-06-16 17:03:15,2026-06-16T17:40:48.135Z,,,,,,,
